"Name","Empty For Github"
"AccessControlEntry.ConditionContextType",""
"AccessControlEntry.Type",""
"AccessControlKind.Type",""
"Any.Type",""
"Binary.Type",""
"BinaryEncoding.Type",""
"BinaryOccurrence.Type",""
"Byte.Type",""
"ByteOrder.Type",""
"Character.Type",""
"Compression.Type",""
"CsvStyle.Type",""
"Currency.Type",""
"Date.Type",""
"DateTime.Type",""
"DateTimeZone.Type",""
"Day.Type",""
"Decimal.Type",""
"Double.Type",""
"Duration.Type",""
"EmigoDataSourceConnector.NavigationFunctionType",""
"ExtraValues.Type",""
"Function.Type",""
"GroupKind.Type",""
"Guid.Type",""
"HiveProtocol.Type",""
"Identity.Type",""
"IdentityProvider.Type",""
"Int16.Type",""
"Int32.Type",""
"Int64.Type",""
"Int8.Type",""
"JoinAlgorithm.Type",""
"JoinKind.Type",""
"JoinSide.Type",""
"LimitClauseKind.Type",""
"List.Type",""
"Logical.Type",""
"MissingField.Type",""
"None.Type",""
"Null.Type",""
"Number.Type",""
"Occurrence.Type",""
"ODataOmitValues.Type",""
"Order.Type",""
"Password.Type",""
"Percentage.Type",""
"Precision.Type",""
"QuoteStyle.Type",""
"Record.Type",""
"RelativePosition.Type",""
"RoundingMode.Type",""
"SapBusinessWarehouseExecutionMode.Type",""
"SapHanaDistribution.Type",""
"SapHanaRangeOperator.Type",""
"Single.Type",""
"SparkProtocol.Type",""
"Table.Type",""
"Text.Type",""
"TextEncoding.Type",""
"Time.Type",""
"TraceLevel.Type",""
"Type.Type",""
"Uri.Type",""
"WebMethod.Type",""
