Name,IsDataSource
DateTime.Date,FALSE
DateTime.FixedLocalNow,FALSE
DateTime.From,FALSE
DateTime.FromFileTime,FALSE
DateTime.FromText,FALSE
DateTime.IsInCurrentHour,FALSE
DateTime.IsInCurrentMinute,FALSE
DateTime.IsInCurrentSecond,FALSE
DateTime.IsInNextHour,FALSE
DateTime.IsInNextMinute,FALSE
DateTime.IsInNextNHours,FALSE
DateTime.IsInNextNMinutes,FALSE
DateTime.IsInNextNSeconds,FALSE
DateTime.IsInNextSecond,FALSE
DateTime.IsInPreviousHour,FALSE
DateTime.IsInPreviousMinute,FALSE
DateTime.IsInPreviousNHours,FALSE
DateTime.IsInPreviousNMinutes,FALSE
DateTime.IsInPreviousNSeconds,FALSE
DateTime.IsInPreviousSecond,FALSE
DateTime.LocalNow,FALSE
DateTime.Time,FALSE
DateTime.ToRecord,FALSE
DateTime.ToText,FALSE
DateTimeZone.FixedLocalNow,FALSE
DateTimeZone.FixedUtcNow,FALSE
DateTimeZone.From,FALSE
DateTimeZone.FromFileTime,FALSE
DateTimeZone.FromText,FALSE
DateTimeZone.LocalNow,FALSE
DateTimeZone.RemoveZone,FALSE
DateTimeZone.SwitchZone,FALSE
DateTimeZone.ToLocal,FALSE
DateTimeZone.ToRecord,FALSE
DateTimeZone.ToText,FALSE
DateTimeZone.ToUtc,FALSE
DateTimeZone.UtcNow,FALSE
DateTimeZone.ZoneHours,FALSE
DateTimeZone.ZoneMinutes,FALSE
Decimal.From,FALSE
Denodo.Contents,TRUE
Diagnostics.ActivityId,FALSE
Diagnostics.Trace,FALSE
DirectQueryCapabilities.From,FALSE
DocumentDB.Contents,TRUE
Double.From,FALSE
Dremio.Databases,TRUE
Duration.Days,FALSE
Duration.From,FALSE
Duration.FromText,FALSE
Duration.Hours,FALSE
Duration.Minutes,FALSE
Duration.Seconds,FALSE
Duration.ToRecord,FALSE
Duration.ToText,FALSE
Duration.TotalDays,FALSE
Duration.TotalHours,FALSE
Duration.TotalMinutes,FALSE
Duration.TotalSeconds,FALSE
Dynamics365BusinessCentral.Contents,TRUE
Dynamics365BusinessCentral.EnvironmentContents,TRUE
Dynamics365BusinessCentralOnPremises.Contents,TRUE
DynamicsNav.Contents,TRUE
Embedded.Value,FALSE
Emigo.Contents,TRUE
Emigo.GetExtractFunction,FALSE
EmigoDataSourceConnector.GetExtractFunction,FALSE
EntersoftBusinessSuite.Contents,TRUE
Error.Record,FALSE
Essbase.Cubes,TRUE
Exasol.Database,TRUE
Excel.CurrentWorkbook,TRUE
Excel.Workbook,FALSE
Exchange.Contents,TRUE
Expression.Constant,FALSE
Expression.Evaluate,FALSE
Expression.Identifier,FALSE
FactSetAnalytics.AuthenticationCheck,TRUE
FactSetAnalytics.Functions,TRUE
Fhir.Contents,TRUE
File.Contents,TRUE
Folder.Contents,TRUE
Folder.Files,TRUE
Foundry.Contents,TRUE
Function.From,FALSE
Function.Invoke,FALSE
Function.InvokeAfter,FALSE
Function.IsDataSource,FALSE
Function.ScalarVector,FALSE
Geography.FromWellKnownText,FALSE
Geography.ToWellKnownText,FALSE
GeographyPoint.From,FALSE
Geometry.FromWellKnownText,FALSE
Geometry.ToWellKnownText,FALSE
GeometryPoint.From,FALSE
Github.Contents,TRUE
Github.PagedTable,TRUE
Github.Tables,TRUE
GoogleAnalytics.Accounts,TRUE
GoogleBigQuery.Database,TRUE
Guid.From,FALSE
HdInsight.Containers,TRUE
HdInsight.Contents,TRUE
HdInsight.Files,TRUE
Hdfs.Contents,TRUE
Hdfs.Files,TRUE
HexagonSmartApi.ApplySelectList,FALSE
HexagonSmartApi.ApplyUnitsOfMeasure,FALSE
HexagonSmartApi.ExecuteParametricFilterOnFilterRecord,FALSE
HexagonSmartApi.ExecuteParametricFilterOnFilterUrl,FALSE
HexagonSmartApi.Feed,TRUE
HexagonSmartApi.GenerateParametricFilterByFilterSourceType,FALSE
HexagonSmartApi.GetODataMetadata,TRUE
HexagonSmartApi.Typecast,FALSE
Html.Table,FALSE
IRIS.Database,TRUE
Identity.From,FALSE
Identity.IsMemberOf,FALSE
IdentityProvider.Default,FALSE
Impala.Database,TRUE
Indexima.Database,TRUE
IndustrialAppStore.NavigationTable,TRUE
InformationGrid.Contents,TRUE
Informix.Database,TRUE
Int16.From,FALSE
Int32.From,FALSE
Int64.From,FALSE
Int8.From,FALSE
Intune.Contents,TRUE
ItemExpression.From,FALSE
JamfPro.Contents,TRUE
JethroODBC.Database,TRUE
Json.Document,FALSE
Json.FromValue,FALSE
Kusto.Contents,TRUE
Kusto.Databases,TRUE
Kyligence.Database,TRUE
Lines.FromBinary,FALSE
Lines.FromText,FALSE
Lines.ToBinary,FALSE
Lines.ToText,FALSE
Linkar.Contents,TRUE
LinkedIn.SalesContracts,TRUE
LinkedIn.SalesContractsWithReportAccess,TRUE
LinkedIn.SalesNavigator,TRUE
LinkedIn.SalesNavigatorAnalytics,TRUE
LinkedIn.SalesNavigatorAnalyticsImpl,TRUE
List.Accumulate,FALSE
List.AllTrue,FALSE
List.Alternate,FALSE
List.AnyTrue,FALSE
List.Average,FALSE
List.Buffer,FALSE
List.Combine,FALSE
List.Contains,FALSE
List.ContainsAll,FALSE
List.ContainsAny,FALSE
List.Count,FALSE
List.Covariance,FALSE
List.DateTimeZones,FALSE
List.DateTimes,FALSE
List.Dates,FALSE
List.Difference,FALSE
List.Distinct,FALSE
List.Durations,FALSE
List.FindText,FALSE
List.First,FALSE
List.FirstN,FALSE
List.Generate,FALSE
List.InsertRange,FALSE
List.Intersect,FALSE
List.IsDistinct,FALSE
List.IsEmpty,FALSE
List.Last,FALSE
List.LastN,FALSE
List.MatchesAll,FALSE
List.MatchesAny,FALSE
List.Max,FALSE
List.MaxN,FALSE
List.Median,FALSE
List.Min,FALSE
List.MinN,FALSE
List.Mode,FALSE
List.Modes,FALSE
List.NonNullCount,FALSE
List.Numbers,FALSE
List.PositionOf,FALSE
List.PositionOfAny,FALSE
List.Positions,FALSE
List.Product,FALSE
List.Random,FALSE
List.Range,FALSE
List.RemoveFirstN,FALSE
List.RemoveItems,FALSE
List.RemoveLastN,FALSE
List.RemoveMatchingItems,FALSE
List.RemoveNulls,FALSE
List.RemoveRange,FALSE
List.Repeat,FALSE
List.ReplaceMatchingItems,FALSE
List.ReplaceRange,FALSE
List.ReplaceValue,FALSE
List.Reverse,FALSE
List.Select,FALSE
List.Single,FALSE
List.SingleOrDefault,FALSE
List.Skip,FALSE
List.Sort,FALSE
List.Split,FALSE
List.StandardDeviation,FALSE
List.Sum,FALSE
List.Times,FALSE
List.Transform,FALSE
List.TransformMany,FALSE
List.Union,FALSE
List.Zip,FALSE
Logical.From,FALSE
Logical.FromText,FALSE
Logical.ToText,FALSE
MailChimp.Collection,TRUE
MailChimp.Instance,TRUE
MailChimp.Tables,TRUE
MailChimp.TablesV2,TRUE
MariaDB.Contents,TRUE
MarkLogicODBC.Contents,TRUE
Marketo.Activities,TRUE
Marketo.Leads,TRUE
Marketo.Tables,TRUE
MicroStrategyDataset.Contents,TRUE
MicroStrategyDataset.TestConnection,TRUE
MicrosoftAzureConsumptionInsights.Contents,TRUE
MicrosoftAzureConsumptionInsights.Tables,TRUE
MicrosoftAzureConsumptionInsights.Test,TRUE
MicrosoftGraphSecurity.Contents,TRUE
Mixpanel.Contents,TRUE
Mixpanel.Export,TRUE
Mixpanel.FunnelById,TRUE
Mixpanel.FunnelByName,TRUE
Mixpanel.Funnels,TRUE
Mixpanel.Segmentation,TRUE
Mixpanel.Tables,TRUE
MySQL.Database,TRUE
Netezza.Database,TRUE
Number.Abs,FALSE
Number.Acos,FALSE
Number.Asin,FALSE
Number.Atan,FALSE
Number.Atan2,FALSE
Number.BitwiseAnd,FALSE
Number.BitwiseNot,FALSE
Number.BitwiseOr,FALSE
Number.BitwiseShiftLeft,FALSE
Number.BitwiseShiftRight,FALSE
Number.BitwiseXor,FALSE
Number.Combinations,FALSE
Number.Cos,FALSE
Number.Cosh,FALSE
Number.Exp,FALSE
Number.Factorial,FALSE
Number.From,FALSE
Number.FromText,FALSE
Number.IntegerDivide,FALSE
Number.IsEven,FALSE
Number.IsNaN,FALSE
Number.IsOdd,FALSE
Number.Ln,FALSE
Number.Log,FALSE
Number.Log10,FALSE
Number.Mod,FALSE
Number.Permutations,FALSE
Number.Power,FALSE
Number.Random,FALSE
Number.RandomBetween,FALSE
Number.Round,FALSE
Number.RoundAwayFromZero,FALSE
Number.RoundDown,FALSE
Number.RoundTowardZero,FALSE
Number.RoundUp,FALSE
Number.Sign,FALSE
Number.Sin,FALSE
Number.Sinh,FALSE
Number.Sqrt,FALSE
Number.Tan,FALSE
Number.Tanh,FALSE
Number.ToText,FALSE
OData.Feed,TRUE
Odbc.DataSource,TRUE
Odbc.InferOptions,TRUE
Odbc.Query,TRUE
OleDb.DataSource,TRUE
OleDb.Query,TRUE
Oracle.Database,TRUE
Paxata.Contents,TRUE
Pdf.Tables,FALSE
Percentage.From,FALSE
PlanviewEnterprise.CallQueryService,TRUE
PlanviewEnterprise.Feed,TRUE
PlanviewProjectplace.Contents,TRUE
PostgreSQL.Database,TRUE
PowerBI.Dataflows,TRUE
PowerPlatform.Dataflows,TRUE
ProductInsights.Contents,TRUE
ProductInsights.QueryMetric,TRUE
Projectplace.Feed,TRUE
Python.Execute,TRUE
QubolePresto.Contents,TRUE
QuickBase.Contents,TRUE
QuickBooks.Query,TRUE
QuickBooks.Report,TRUE
QuickBooks.Tables,TRUE
QuickBooksOnline.Tables,TRUE
R.Execute,TRUE
RData.FromBinary,FALSE
Record.AddField,FALSE
Record.Combine,FALSE
Record.Field,FALSE
Record.FieldCount,FALSE
Record.FieldNames,FALSE
Record.FieldOrDefault,FALSE
Record.FieldValues,FALSE
Record.FromList,FALSE
Record.FromTable,FALSE
Record.HasFields,FALSE
Record.RemoveFields,FALSE
Record.RenameFields,FALSE
Record.ReorderFields,FALSE
Record.SelectFields,FALSE
Record.ToList,FALSE
Record.ToTable,FALSE
Record.TransformFields,FALSE
Replacer.ReplaceText,FALSE
Replacer.ReplaceValue,FALSE
Resource.Access,TRUE
Roamler.Contents,TRUE
RowExpression.Column,FALSE
RowExpression.From,FALSE
Salesforce.Data,TRUE
Salesforce.Reports,TRUE
SapBusinessWarehouse.Cubes,TRUE
SapHana.Database,TRUE
SharePoint.Contents,TRUE
SharePoint.Files,TRUE
SharePoint.Tables,TRUE
ShortcutsBI.Contents,TRUE
Single.From,FALSE
Siteimprove.Contents,TRUE
Smartsheet.Content,TRUE
Smartsheet.Query,TRUE
Smartsheet.Tables,TRUE
Snowflake.Databases,TRUE
Soda.Feed,TRUE
Spark.Tables,TRUE
SparkPost.GetList,TRUE
SparkPost.GetTable,TRUE
SparkPost.NavTable,TRUE
Splitter.SplitByNothing,FALSE
Splitter.SplitTextByAnyDelimiter,FALSE
Splitter.SplitTextByCharacterTransition,FALSE
Splitter.SplitTextByDelimiter,FALSE
Splitter.SplitTextByEachDelimiter,FALSE
Splitter.SplitTextByLengths,FALSE
Splitter.SplitTextByPositions,FALSE
Splitter.SplitTextByRanges,FALSE
Splitter.SplitTextByRepeatedLengths,FALSE
Splitter.SplitTextByWhitespace,FALSE
Sql.Database,TRUE
Sql.Databases,TRUE
SqlExpression.SchemaFrom,FALSE
SqlExpression.ToExpression,FALSE
Stripe.Contents,TRUE
Stripe.Method,TRUE
Stripe.Tables,TRUE
SurveyMonkey.Contents,TRUE
SweetIQ.Contents,TRUE
SweetIQ.Tables,TRUE
Sybase.Database,TRUE
Table.AddColumn,FALSE
Table.AddFuzzyClusterColumn,FALSE
Table.AddIndexColumn,FALSE
Table.AddJoinColumn,FALSE
Table.AddKey,FALSE
Table.AggregateTableColumn,FALSE
Table.AlternateRows,FALSE
Table.Buffer,FALSE
Table.Column,FALSE
Table.ColumnCount,FALSE
Table.ColumnNames,FALSE
Table.ColumnsOfType,FALSE
Table.Combine,FALSE
Table.CombineColumns,FALSE
Table.CombineColumnsToRecord,FALSE
Table.Contains,FALSE
Table.ContainsAll,FALSE
Table.ContainsAny,FALSE
Table.DemoteHeaders,FALSE
Table.Distinct,FALSE
Table.DuplicateColumn,FALSE
Table.ExpandListColumn,FALSE
Table.ExpandRecordColumn,FALSE
Table.ExpandTableColumn,FALSE
Table.FillDown,FALSE
Table.FillUp,FALSE
Table.FilterWithDataTable,FALSE
Table.FindText,FALSE
Table.First,FALSE
Table.FirstN,FALSE
Table.FirstValue,FALSE
Table.FromColumns,FALSE
Table.FromList,FALSE
Table.FromPartitions,FALSE
Table.FromRecords,FALSE
Table.FromRows,FALSE
Table.FromValue,FALSE
Table.FuzzyGroup,FALSE
Table.FuzzyJoin,FALSE
Table.FuzzyNestedJoin,FALSE
Table.Group,FALSE
Table.HasColumns,FALSE
Table.InsertRows,FALSE
Table.IsDistinct,FALSE
Table.IsEmpty,FALSE
Table.Join,FALSE
Table.Keys,FALSE
Table.Last,FALSE
Table.LastN,FALSE
Table.MatchesAllRows,FALSE
Table.MatchesAnyRows,FALSE
Table.Max,FALSE
Table.MaxN,FALSE
Table.Min,FALSE
Table.MinN,FALSE
Table.NestedJoin,FALSE
Table.Partition,FALSE
Table.PartitionValues,FALSE
Table.Pivot,FALSE
Table.PositionOf,FALSE
Table.PositionOfAny,FALSE
Table.PrefixColumns,FALSE
Table.Profile,FALSE
Table.PromoteHeaders,FALSE
Table.Range,FALSE
Table.RemoveColumns,FALSE
Table.RemoveFirstN,FALSE
Table.RemoveLastN,FALSE
Table.RemoveMatchingRows,FALSE
Table.RemoveRows,FALSE
Table.RemoveRowsWithErrors,FALSE
Table.RenameColumns,FALSE
Table.ReorderColumns,FALSE
Table.Repeat,FALSE
Table.ReplaceErrorValues,FALSE
Table.ReplaceKeys,FALSE
Table.ReplaceMatchingRows,FALSE
Table.ReplaceRelationshipIdentity,FALSE
Table.ReplaceRows,FALSE
Table.ReplaceValue,FALSE
Table.ReverseRows,FALSE
Table.RowCount,FALSE
Table.Schema,FALSE
Table.SelectColumns,FALSE
Table.SelectRows,FALSE
Table.SelectRowsWithErrors,FALSE
Table.SingleRow,FALSE
Table.Skip,FALSE
Table.Sort,FALSE
Table.Split,FALSE
Table.SplitColumn,FALSE
Table.ToColumns,FALSE
Table.ToList,FALSE
Table.ToRecords,FALSE
Table.ToRows,FALSE
Table.TransformColumnNames,FALSE
Table.TransformColumnTypes,FALSE
Table.TransformColumns,FALSE
Table.TransformRows,FALSE
Table.Transpose,FALSE
Table.Unpivot,FALSE
Table.UnpivotOtherColumns,FALSE
Table.View,FALSE
Table.ViewFunction,FALSE
Tables.GetRelationships,FALSE
TeamDesk.Database,TRUE
TeamDesk.Select,TRUE
TeamDesk.SelectView,TRUE
Tenforce.Contents,TRUE
Teradata.Database,TRUE
Text.AfterDelimiter,FALSE
Text.At,FALSE
Text.BeforeDelimiter,FALSE
Text.BetweenDelimiters,FALSE
Text.Clean,FALSE
Text.Combine,FALSE
Text.Contains,FALSE
Text.End,FALSE
Text.EndsWith,FALSE
Text.Format,FALSE
Text.From,FALSE
Text.FromBinary,FALSE
Text.InferNumberType,FALSE
Text.Insert,FALSE
Text.Length,FALSE
Text.Lower,FALSE
Text.Middle,FALSE
Text.NewGuid,FALSE
Text.PadEnd,FALSE
Text.PadStart,FALSE
Text.PositionOf,FALSE
Text.PositionOfAny,FALSE
Text.Proper,FALSE
Text.Range,FALSE
Text.Remove,FALSE
Text.RemoveRange,FALSE
Text.Repeat,FALSE
Text.Replace,FALSE
Text.ReplaceRange,FALSE
Text.Reverse,FALSE
Text.Select,FALSE
Text.Split,FALSE
Text.SplitAny,FALSE
Text.Start,FALSE
Text.StartsWith,FALSE
Text.ToBinary,FALSE
Text.ToList,FALSE
Text.Trim,FALSE
Text.TrimEnd,FALSE
Text.TrimStart,FALSE
Text.Upper,FALSE
TibcoTdv.DataSource,TRUE
Time.EndOfHour,FALSE
Time.From,FALSE
Time.FromText,FALSE
Time.Hour,FALSE
Time.Minute,FALSE
Time.Second,FALSE
Time.StartOfHour,FALSE
Time.ToRecord,FALSE
Time.ToText,FALSE
TimeSeriesInsights.Contents,TRUE
Troux.CustomFeed,TRUE
Troux.Feed,TRUE
Troux.TestConnection,TRUE
Twilio.Contents,TRUE
Twilio.Tables,TRUE
Twilio.URL,TRUE
Type.AddTableKey,FALSE
Type.ClosedRecord,FALSE
Type.Facets,FALSE
Type.ForFunction,FALSE
Type.ForRecord,FALSE
Type.FunctionParameters,FALSE
Type.FunctionRequiredParameters,FALSE
Type.FunctionReturn,FALSE
Type.Is,FALSE
Type.IsNullable,FALSE
Type.IsOpenRecord,FALSE
Type.ListItem,FALSE
Type.NonNullable,FALSE
Type.OpenRecord,FALSE
Type.RecordFields,FALSE
Type.ReplaceFacets,FALSE
Type.ReplaceTableKeys,FALSE
Type.TableColumn,FALSE
Type.TableKeys,FALSE
Type.TableRow,FALSE
Type.TableSchema,FALSE
Type.Union,FALSE
TypeAsText,FALSE
Uri.BuildQueryString,FALSE
Uri.Combine,FALSE
Uri.EscapeDataString,FALSE
Uri.Parts,FALSE
VSTS.AccountContents,TRUE
VSTS.AnalyticsViews,TRUE
VSTS.Contents,TRUE
VSTS.Feed,TRUE
VSTS.Views,TRUE
Value.Add,FALSE
Value.As,FALSE
Value.Compare,FALSE
Value.Divide,FALSE
Value.Equals,FALSE
Value.Expression,FALSE
Value.Firewall,FALSE
Value.FromText,FALSE
Value.Is,FALSE
Value.Metadata,FALSE
Value.Multiply,FALSE
Value.NativeQuery,FALSE
Value.NullableEquals,FALSE
Value.Optimize,FALSE
Value.RemoveMetadata,FALSE
Value.ReplaceMetadata,FALSE
Value.ReplaceType,FALSE
Value.ResourceExpression,FALSE
Value.Subtract,FALSE
Value.Type,FALSE
Variable.Value,FALSE
Vena.Contents,TRUE
Vertica.Database,TRUE
VesselInsight.Contents,TRUE
Web.BrowserContents,TRUE
Web.Contents,TRUE
Web.Page,FALSE
WebAction.Request,TRUE
Webtrends.KeyMetrics,TRUE
Webtrends.Profile,TRUE
Webtrends.ReportContents,TRUE
Webtrends.Tables,TRUE
WebtrendsAnalytics.Tables,TRUE
Witivio.Contents,TRUE
WorkforceDimensions.Contents,TRUE
WorkplaceAnalytics.Data,TRUE
Xml.Document,FALSE
Xml.Tables,FALSE
Zendesk.Collection,TRUE
Zendesk.Tables,TRUE
ZohoCreator.Contents,TRUE
Zucchetti.Contents,TRUE
appFigures.Content,TRUE
appFigures.Tables,TRUE
